Pronunciation        Tags
/ɑɚf•tə/             english words ngsl
/dɛɪ/                english words ngsl
/wɛɚ/                english words ngsl
/θɪŋ/                english words ngsl
/moʊst/              english words ngsl
/ʃʊd/                english words ngsl
/niːd/               english words ngsl
/mʌtʃ/               english words ngsl
/raɪt/               english words ngsl
/haʊ/                english words ngsl
/bæk/                english words ngsl
/miːn/               english words ngsl
/iː•vən/             english words ngsl
/mɛɪ/                english words ngsl
/hiːɚ/               english words ngsl
/mɛ•nɪ/              english words ngsl
/sʌtʃ/               english words ngsl
/lɑɚst/              english words ngsl
/tʃaɪld/             english words ngsl
/tɛl/                english words ngsl
/riːɚ•lɪ/            english words ngsl
/koɚl/               english words ngsl
/bɪ•foɚ/             english words ngsl
/kʌm•pə•nɪ/          english words ngsl
/θru/                english words ngsl
/daʊn/               english words ngsl
/ʃoʊ/                english words ngsl
/laɪf/               english words ngsl
/mæn/                english words ngsl
/tʃɛɪndʒ/            english words ngsl
/plɛɪs/              english words ngsl
/lɑŋ/                english words ngsl
/bɪ•twiːn/           english words ngsl
/fiːl/               english words ngsl
/tu/                 english words ngsl
/stɪl/               english words ngsl
/prɑb•ləm/           english words ngsl
/raɪt/               english words ngsl
/sɛɪm/               english words ngsl
/lɑt/                english words ngsl
/grɛɪt/              english words ngsl
/traɪ/               english words ngsl
/liːv/               english words ngsl
/nʌm•bə/             english words ngsl
/boʊθ/               english words ngsl
/oʊn/                english words ngsl
/pɑɚt/               english words ngsl
/poɪnt/              english words ngsl
/lɪ•tl/              english words ngsl
/hɛlp/               english words ngsl
/ɑɚsk/               english words ngsl
/miːt/               english words ngsl
/stɑɚt/              english words ngsl
/toɚk/               english words ngsl
/sʌm•θɪŋ/            english words ngsl
/pʌt/                english words ngsl
/ə•nʌ•ðə/            english words ngsl
/bɪ•kʌm/             english words ngsl
/ɪn•trɪst/           english words ngsl
/kʌn•trɪ/            english words ngsl
/oʊld/               english words ngsl
/iːtʃ/               english words ngsl
/skul/               english words ngsl
/lɛɪt/               english words ngsl
/haɪ/                english words ngsl
/dɪ•frənt/           english words ngsl
/oɚf/                english words ngsl
/nɛkst/              english words ngsl
/ɛnd/                english words ngsl
/lɪv/                english words ngsl
/waɪ/                english words ngsl
/waɪl/               english words ngsl
/wɚld/               english words ngsl
/wiːk/               english words ngsl
/plɛɪ/               english words ngsl
/maɪt/               english words ngsl
/mʌst/               english words ngsl
/hoʊm/               english words ngsl
/nɛ•və/              english words ngsl
/ɪn•klud/            english words ngsl
/koɚs/               english words ngsl
/haʊz/               english words ngsl
/rɪ•poɚt/            english words ngsl
/grup/               english words ngsl
/kɛɪs/               english words ngsl
/wʊ•mən/             english words ngsl
/ə•raʊnd/            english words ngsl
/bʊk/                english words ngsl
/fæ•mɪ•lɪ/           english words ngsl
/siːm/               english words ngsl
/lɛt/                english words ngsl
/ə•gɛn/              english words ngsl
/kaɪnd/              english words ngsl
/kiːp/               english words ngsl
/hiːɚ/               english words ngsl
/sɪs•tɪm/            english words ngsl
/ɛ•vrɪ/              english words ngsl
/kwɛs•tʃən/          english words ngsl
/djʊə•rɪŋ/           english words ngsl
/oɚ•lwəz/            english words ngsl
/bɪg/                english words ngsl
/sɛt/                english words ngsl
/smoɚl/              english words ngsl
/stʌ•dɪ/             english words ngsl
/fɑ•loʊ/             english words ngsl
/bɪ•gɪn/             english words ngsl
/ɪm•poɚ•tənt/        english words ngsl
/sɪns/               english words ngsl
/rʌn/                english words ngsl
/ʌn•də/              english words ngsl
/tɚn/                english words ngsl
/fju/                english words ngsl
/brɪŋ/               english words ngsl
/ɚ•lɪ/               english words ngsl
/hænd/               english words ngsl
/stɛɪt/              english words ngsl
/muv/                english words ngsl
/mʌ•nɪ/              english words ngsl
/fækt/               english words ngsl
/haʊ•ɛ•və/           english words ngsl
/ɛɚ•riːɚ/            english words ngsl
/prə•vaɪd/           english words ngsl
/nɛɪm/               english words ngsl
/rɛd/                english words ngsl
/frɛnd/              english words ngsl
/mʌnθ/               english words ngsl
/lɑɚdʒ/              english words ngsl
/bɪ•zɪ•nɪs/          english words ngsl
/wɪ•ðaʊt/            english words ngsl
/ɪn•fə•mɛɪ•ʃən/      english words ngsl
/oʊ•pən/             english words ngsl
/oɚ•də/              english words ngsl
/gʌ•vn•mənt/         english words ngsl
/wɚd/                english words ngsl
/ɪ•sju/              english words ngsl
/mɑɚ•kɪt/            english words ngsl
/pɛɪ/                english words ngsl
/bɪld/               english words ngsl
/hoʊld/              english words ngsl
/sɚ•vɪs/             english words ngsl
/ə•gɛnst/            english words ngsl
/bɪ•liːv/            english words ngsl
/sɛkənd/             english words ngsl
/ðoʊ/                english words ngsl
/jɛs/                english words ngsl
/lʌv/                english words ngsl
/ɪn•kriːs/           english words ngsl
/dʒɑb/               english words ngsl
/plæn/               english words ngsl
/ɹɪ•zʌlt/            english words ngsl
/ə•wɛɪ/              english words ngsl
/ɪg•zɑɚm•pl/         english words ngsl
/hæ•pən/             english words ngsl
/ɑ•fə/               english words ngsl
/jʌŋ/                english words ngsl
/kloʊz/              english words ngsl
/proʊ•græm/          english words ngsl
/liːd/               english words ngsl
/baɪ/                english words ngsl
/ʌn•də•stænd/        english words ngsl
/θæŋk/               english words ngsl
/fɑɚ/                english words ngsl
/tə•dɛɪ/             english words ngsl
/aʊ•ə/               english words ngsl
/stju•dənt/          english words ngsl
/fɛɪs/               english words ngsl
/hoʊp/               english words ngsl
/aɪ•diːɚ/            english words ngsl
/kɑst/               english words ngsl
/lɛs/                english words ngsl
/rʊm/                english words ngsl
/ən•tɪl/             english words ngsl
/riː•zn/             english words ngsl
/foɚm/               english words ngsl
/spɛnd/              english words ngsl
/hɛd/                english words ngsl
/kɑɚ/                english words ngsl
/lɚn/                english words ngsl
/lɛ•vl/              english words ngsl
/pɚ•sn/              english words ngsl
/ɪks•piːɚ•riːɚns/    english words ngsl
/wʌns/               english words ngsl
/mɛm•bə/             english words ngsl
/ɪ•nʌf/              english words ngsl
/bæd/                english words ngsl
/sɪ•tɪ/              english words ngsl
/naɪt/               english words ngsl
/ɛɪ•bl/              english words ngsl
/sə•poɚt/            english words ngsl
/wɛ•ðə/              english words ngsl
/laɪn/               english words ngsl
/prɛ•znt/            english words ngsl
/saɪd/               english words ngsl
/kwaɪt/              english words ngsl
/oɚl•ðoʊ/            english words ngsl
/ʃʊə/                english words ngsl
/tɚm/                english words ngsl
/liːst/              english words ngsl
/ɛɪdʒ/               english words ngsl
/loʊ/                english words ngsl
/spiːk/              english words ngsl
/wɪ•ðɪn/             english words ngsl
/proʊ•sɛs/           english words ngsl
/pʌb•lɪk/            english words ngsl
/oɚ•fn/              english words ngsl
/trɛɪn/              english words ngsl
/pɑ•sə•bl/           english words ngsl
/æktʃʊlɪ/            english words ngsl
/rɑɚ•ðə/             english words ngsl
/vju/                english words ngsl
/tə•gɛ•ðə/           english words ngsl
/kən•sɪ•də/          english words ngsl
/praɪs/              english words ngsl
/pɛɚ•rənt/           english words ngsl
/hɑɚd/               english words ngsl
/pɑɚ•tɪ/             english words ngsl
/loʊ•kəl/            english words ngsl
/kən•troʊl/          english words ngsl
/oɚl•rɛ•dɪ/          english words ngsl
/kən•sɚn/            english words ngsl
/prɑ•dəkt/           english words ngsl
/luz/                english words ngsl
/stoɚ•rɪ/            english words ngsl
/oɚl•moʊst/          english words ngsl
/kən•tɪ•nju/         english words ngsl
/stænd/              english words ngsl
/hoʊl/               english words ngsl
/jɛt/                english words ngsl
/rɛɪt/               english words ngsl
/kɛɚ/                english words ngsl
/ɪks•pɛkt/           english words ngsl
/ɪ•fɛkt/             english words ngsl
/soɚt/               english words ngsl
/ɛ•və/               english words ngsl
/ɛ•nɪ•θɪŋ/           english words ngsl
/koɚz/               english words ngsl
/foɚl/               english words ngsl
/diːl/               english words ngsl
/woɚ•tə/             english words ngsl
/sɛnd/               english words ngsl
/ə•laʊ/              english words ngsl
/sun/                english words ngsl
/wɑtʃ/               english words ngsl
/bɛɪs/               english words ngsl
/prɑbəblɪ/           english words ngsl
/sə•dʒɛst/           english words ngsl
/pɑɚst/              english words ngsl
/paʊə2/              english words ngsl
/tɛst/               english words ngsl
/vɪ•zɪt/             english words ngsl
/sɛn•tə/             english words ngsl
/groʊ/               english words ngsl
/nʌ•θɪŋ/             english words ngsl
/rɪ•tɚn/             english words ngsl
/mʌ•ðə/              english words ngsl
/woɚk/               english words ngsl
/mæ•tə/              english words ngsl
/maɪnd/              english words ngsl
/væ•lju/             english words ngsl
/ɑ•fɪs/              english words ngsl
/rɪ•koɚd/            english words ngsl
/stɛɪ/               english words ngsl
/foɚs/               english words ngsl
/stɑp/               english words ngsl
/sɛ•vrəl/            english words ngsl
/laɪt/               english words ngsl
/dɪ•vɛ•ləp/          english words ngsl
/rɪ•mɛm•bə/          english words ngsl
/bɪt/                english words ngsl
/ʃɛɚ/                english words ngsl
/rɛɪ•ɑɚl/            english words ngsl
/ɑɚn•sə/             english words ngsl
/sɪt/                english words ngsl
/fɪ•gə/              english words ngsl
/lɛ•tə/              english words ngsl
/dɪ•saɪd/            english words ngsl
/læŋ•gwɪdʒ/          english words ngsl
/səb•dʒɛkt/          english words ngsl
/klɑɚs/              english words ngsl
/dɪ•vɛ•ləp•mənt/     english words ngsl
/taʊn/               english words ngsl
/hɑɚf/               english words ngsl
/maɪ•njut/           english words ngsl
/fud/                english words ngsl
/brɛɪk/              english words ngsl
/kliːɚ/              english words ngsl
/fju•tʃə/            english words ngsl
/aɪ•ðə/              english words ngsl
/ə•goʊ/              english words ngsl
/pɚ/                 english words ngsl
/rɪ•mɛɪn/            english words ngsl
/tɑp/                english words ngsl
/ə•mʌŋ/              english words ngsl
/wɪn/                english words ngsl
/kʌ•lɚ/              english words ngsl
/ɪn•vɑlv/            english words ngsl
/riːtʃ/              english words ngsl
/soʊ•ʃəl/            english words ngsl
/piːɚ•riːɚd/         english words ngsl
/ə•krɑs/             english words ngsl
/noʊt/               english words ngsl
/hɪs•tə•rɪ/          english words ngsl
/kriː•ɛɪt/           english words ngsl
/draɪv/              english words ngsl
/ə•lɑŋ/              english words ngsl
/taɪp/               english words ngsl
/saʊnd/              english words ngsl
/aɪ/                 english words ngsl
/mju•zɪk/            english words ngsl
/gɛɪm/               english words ngsl
/pə•lɪ•tɪ•kəl/       english words ngsl
/friː/               english words ngsl
/rɪ•siːv/            english words ngsl
/moʊ•mənt/           english words ngsl
/sɛɪl/               english words ngsl
/pɑ•lɪ•sɪ/           english words ngsl
/fɚ•ðə/              english words ngsl
/bɑ•dɪ/              english words ngsl
/rɪ•kwaɪ•ə/          english words ngsl
/wɛɪt/               english words ngsl
/dʒɛ•nə•rəl/         english words ngsl
/ə•piːɚ/             english words ngsl
/tə•woɚd/            english words ngsl
/tiːm/               english words ngsl
/iː•zɪ/              english words ngsl
/ɪn•dɪ•vɪ•djʊəl/     english words ngsl
/fʊl/                english words ngsl
/blæk/               english words ngsl
/sɛns/               english words ngsl
/pɚ•hæps/            english words ngsl
/æd/                 english words ngsl
/rul/                english words ngsl
/pɑɚs/               english words ngsl
/prə•djus/           english words ngsl
/sɛl/                english words ngsl
/ʃoɚt/               english words ngsl
/ə•griː/             english words ngsl
/loɚ/                english words ngsl
/ɛ•vrɪ•θɪŋ/          english words ngsl
/rɪ•sɚtʃ/            english words ngsl
/kʌ•və/              english words ngsl
/pɛɪ•pə/             english words ngsl
/pə•zɪ•ʃən/          english words ngsl
/niːɚ/               english words ngsl
/hju•mən/            english words ngsl
/kəm•pju•tə/         english words ngsl
/sɪ•tjʊ•ɛɪ•ʃən/      english words ngsl
/stɑɚf/              english words ngsl
/æk•tɪ•vɪ•tɪ/        english words ngsl
/fɪlm/               english words ngsl
/moɚ•nɪŋ/            english words ngsl
/woɚ/                english words ngsl
/ə•kaʊnt/            english words ngsl
/ʃɑp/                english words ngsl
/mɛɪ•dʒə/            english words ngsl
/sʌ•mwʌn/            english words ngsl
/ə•bʌv/              english words ngsl
/dɪ•zaɪn/            english words ngsl
/ɪ•vɛnt/             english words ngsl
/spɛ•ʃəl/            english words ngsl
/sʌm•taɪmz/          english words ngsl
/kən•dɪ•ʃən/         english words ngsl
/kæ•rɪ/              english words ngsl
/tʃuz/               english words ngsl
/fɑɚ•ðə/             english words ngsl
/dɪ•sɪ•ʒən/          english words ngsl
/tɛɪ•bl/             english words ngsl
/sɚ•tn/              english words ngsl
/foɚ•wəd/            english words ngsl
/mɛɪn/               english words ngsl
/daɪ/                english words ngsl
/bɛɚ/                english words ngsl
/kʌt/                english words ngsl
/dɪs•kraɪb/          english words ngsl
/hɪm•sɛlf/           english words ngsl
/ə•vɛɪ•lə•bl/        english words ngsl
/ɪ'spɛʃəlɪ/          english words ngsl
/strɑŋ/              english words ngsl
/raɪz/               english words ngsl
/gɚl/                english words ngsl
/mɛɪ•biː/            english words ngsl
/kə•mju•nɪ•tɪ/       english words ngsl
/ɛls/                english words ngsl
/pə•tɪ•kjʊ•lə/       english words ngsl
/roʊl/               english words ngsl
/dʒoɪn/              english words ngsl
/dɪ•fɪ•kəlt/         english words ngsl
/pliːz/              english words ngsl
/diː•tɛɪl/           english words ngsl
/dɪ•frəns/           english words ngsl
/æk•ʃən/             english words ngsl
/hɛlθ/               english words ngsl
/ɛt/                 english words ngsl
/stɛp/               english words ngsl
/tru/                english words ngsl
/foʊn/               english words ngsl
/ðəm•sɛlvz/          english words ngsl
/droɚ/               english words ngsl
/waɪt/               english words ngsl
/dɛɪt/               english words ngsl
/præk•tɪs/           english words ngsl
/mɑ•dl/              english words ngsl
/rɛɪz/               english words ngsl
/kʌs•tə•mə/          english words ngsl
/frʌnt/              english words ngsl
/ɪks•plɛɪn/          english words ngsl
/doɚ/                english words ngsl
/aʊt•saɪd/           english words ngsl
/bɪ•haɪnd/           english words ngsl
/iː•kə•nɑ•mɪk/       english words ngsl
/saɪt/               english words ngsl
/ə•proʊtʃ/           english words ngsl
/tiː•tʃə/            english words ngsl
/lænd/               english words ngsl
/tʃɑɚdʒ/             english words ngsl
/faɪ•nə•lɪ/          english words ngsl
/saɪn/               english words ngsl
/klɛɪm/              english words ngsl
/rɪ•lɛɪ•ʃən•ʃɪp/     english words ngsl
/træ•vl/             english words ngsl
/ɪn•dʒoɪ/            english words ngsl
/dɛθ/                english words ngsl
/naɪs/               english words ngsl
/ə•maʊnt/            english words ngsl
/ɪm•pruv/            english words ngsl
/pɪk•tʃə/            english words ngsl
/boɪ/                english words ngsl
/rɪ•gɑɚd/            english words ngsl
/oɚ•gə•naɪ•zɛɪ•ʃən/  english words ngsl
/hæ•pɪ/              english words ngsl
/kʌ•pl/              english words ngsl
/ækt/                english words ngsl
/rɛɪndʒ/             english words ngsl
/kwɑ•lɪ•tɪ/          english words ngsl
/prə•dʒɛkt/          english words ngsl
/raʊnd/              english words ngsl
/ɑ•pə•tju•nɪ•tɪ/     english words ngsl
/roʊd/               english words ngsl
/ə•koɚd/             english words ngsl
/lɪst/               english words ngsl
/wɪʃ/                english words ngsl
/ðɛɚ•foɚ/            english words ngsl
/wɛɚ/                english words ngsl
/fʌnd/               english words ngsl
/rɛst/               english words ngsl
/kɪd/                english words ngsl
/ɪn•dəs•trɪ/         english words ngsl
/ɛ•dju•kɛɪ•ʃən/      english words ngsl
/mɛ•ʒə/              english words ngsl
/kɪl/                english words ngsl
/sɚv/                english words ngsl
/laɪk•lɪ/            english words ngsl
/sɚtnlɪ/             english words ngsl
/næ•ʃə•nL/           english words ngsl
/ɪt•sɛlf/            english words ngsl
/tiːtʃ/              english words ngsl
/fiːld/              english words ngsl
/sɪ•kjʊə•rɪ•tɪ/      english words ngsl
/ɛɚ/                 english words ngsl
/bɛ•nɪ•fɪt/          english words ngsl
/trɛɪd/              english words ngsl
/rɪsk/               english words ngsl
/njuz/               english words ngsl
/stæn•dəd/           english words ngsl
/voʊt/               english words ngsl
/pɚ•sɛnt/            english words ngsl
/foʊ•kəs/            english words ngsl
/stɛɪdʒ/             english words ngsl
/spɛɪs/              english words ngsl
/ɪn•stɛd/            english words ngsl
/riːɚ•laɪz/          english words ngsl
/juʒəlɪ/             english words ngsl
/dɛɪ•tə/             english words ngsl
/sɪŋ•gl/             english words ngsl
/ə•drɛs/             english words ngsl
/pɚ•foɚ•məns/        english words ngsl
/tʃɑɚns/             english words ngsl
/ək•sɛpt/            english words ngsl
/sə•saɪ•ə•tɪ/        english words ngsl
/tɛk•nɑ•lə•dʒɪ/      english words ngsl
/mɛn•ʃən/            english words ngsl
/tʃoɪs/              english words ngsl
/sɛɪv/               english words ngsl
/kɑ•mən/             english words ngsl
/kʌl•tʃə/            english words ngsl
/toʊ•tl/             english words ngsl
/dɪ•mɑɚnd/           english words ngsl
/mə•tiːɚ•riːɚl/      english words ngsl
/lɪ•mɪt/             english words ngsl
/lɪ•sn/              english words ngsl
/dju/                english words ngsl
/rɑŋ/                english words ngsl
/fʊt/                english words ngsl
/ɛ•fət/              english words ngsl
/ə•tɛn•ʃən/          english words ngsl
/ə•pɑn/              english words ngsl
/tʃɛk/               english words ngsl
/kəm•pliːt/          english words ngsl
/laɪ/                english words ngsl
/pɪk/                english words ngsl
/rɪ•djus/            english words ngsl
/pɚs•nL/             english words ngsl
/graʊnd/             english words ngsl
/æ•nɪ•məl/           english words ngsl
/ə•raɪv/             english words ngsl
/pɛɪ•ʃənt/           english words ngsl
/kʌ•rənt/            english words ngsl
/sɛn•tʃʊ•rɪ/         english words ngsl
/ɛ•vɪ•dəns/          english words ngsl
/ɪg•zɪst/            english words ngsl
/sɪ•mɪ•lə/           english words ngsl
/faɪt/               english words ngsl
/liː•də/             english words ngsl
/faɪn/               english words ngsl
/striːt/             english words ngsl
/foɚ•mə/             english words ngsl
/kən•tækt/           english words ngsl
/pə'tɪkjʊləlɪ/       english words ngsl
/waɪf/               english words ngsl
/spoɚt/              english words ngsl
/prɪ•pɛɚ/            english words ngsl
/dɪs•kʌs/            english words ngsl
/rɪs•pɑns/           english words ngsl
/voɪs/               english words ngsl
/piːs/               english words ngsl
/fɪ•nɪʃ/             english words ngsl
/sə•poʊz/            english words ngsl
/ə•plaɪ/             english words ngsl
/prɛ•zɪ•dənt/        english words ngsl
/faɪ•ə/              english words ngsl
/kəm•pɛɚ/            english words ngsl
/koɚt/               english words ngsl
/pə•liːs/            english words ngsl
/stoɚ/               english words ngsl
/pʊə/                english words ngsl
/nɑ•lɪdʒ/            english words ngsl
/lɑɚf/               english words ngsl
/ɑɚm/                english words ngsl
/hɑɚt/               english words ngsl
/soɚs/               english words ngsl
/ɛm•ploɪ•iː/         english words ngsl
/mæ•nɪdʒ/            english words ngsl
/sɪm•plɪ/            english words ngsl
/bæŋk/               english words ngsl
/fɚm/                english words ngsl
/sɛl/                english words ngsl
/ɑɚ•tɪ•kl/           english words ngsl
/fɑɚst/              english words ngsl
/ə•tæk/              english words ngsl
/fɑ•rɪn/             english words ngsl
/sə•praɪz/           english words ngsl
/fiː•tʃə/            english words ngsl
/fæk•tə/             english words ngsl
/prɪ•tɪ/             english words ngsl
/riːsntlɪ/           english words ngsl
/ə•fɛkt/             english words ngsl
/drɑp/               english words ngsl
/riː•snt/            english words ngsl
/rɪ•lɛɪt/            english words ngsl
/ə•fɪ•ʃəl/           english words ngsl
/faɪ•næn•ʃəl/        english words ngsl
/mɪs/                english words ngsl
/ɑɚt/                english words ngsl
/kæm•pɛɪn/           english words ngsl
/praɪ•vɪt/           english words ngsl
/poɚz/               english words ngsl
/ɛ•vrɪ•wʌn/          english words ngsl
/fə•gɛt/             english words ngsl
/pɛɪdʒ/              english words ngsl
/wʌ•rɪ/              english words ngsl
/sʌ•mə/              english words ngsl
/drɪŋk/              english words ngsl
/ə•pɪ•njən/          english words ngsl
/pɑɚk/               english words ngsl
/rɛ•prɪ•zɛnt/        english words ngsl
/kiː/                english words ngsl
/ɪn•saɪd/            english words ngsl
/mæ•nɪ•dʒə/          english words ngsl
/ɪn•tɚ•næ•ʃə•nL/     english words ngsl
/kən•tɛɪn/           english words ngsl
/noʊ•tɪs/            english words ngsl
/wʌn•də/             english words ngsl
/nɛɪ•tʃə/            english words ngsl
/strʌk•tʃə/          english words ngsl
/sɛk•ʃən/            english words ngsl
/maɪ•sɛlf/           english words ngsl
/ɪg'zæktlɪ/          english words ngsl
/plɑɚnt/             english words ngsl
/pɛɪnt/              english words ngsl
/wɚ•kə/              english words ngsl
/prɛs/               english words ngsl
/wɑt•ɛ•və/           english words ngsl
/nɛ•sɪ•sə•rɪ/        english words ngsl
/riːdʒən/            english words ngsl
/groʊθ/              english words ngsl
/iːv•nɪŋ/            english words ngsl
/ɪn•flʊəns/          english words ngsl
/rɪs•pɛkt/           english words ngsl
/vɛɚ•riːɚs/          english words ngsl
/kætʃ/               english words ngsl
/ðʌs/                english words ngsl
/skɪl/               english words ngsl
/ə•tɛmpt/            english words ngsl
/sʌn/                english words ngsl
/sɪm•pl/             english words ngsl
/miː•djəm/           english words ngsl
/æ•və•rɪdʒ/          english words ngsl
/stɑk/               english words ngsl
/mæ•nɪdʒ•mənt/       english words ngsl
/kæ•rɪk•tə/          english words ngsl
/bɛd/                english words ngsl
/hɪt/                english words ngsl
/ɪs•tæb•lɪʃ/         english words ngsl
/ɪn•diːd/            english words ngsl
/faɪ•nL/             english words ngsl
/iː•kɑ•nə•mɪ/        english words ngsl
/fɪt/                english words ngsl
/gaɪ/                english words ngsl
/fʌŋ•kʃən/           english words ngsl
/jɛs•tə•dɪ/          english words ngsl
/ɪ•mɪdʒ/             english words ngsl
/saɪz/               english words ngsl
/bɪ•heɪv•jɚ/         english words ngsl
/ə•dɪ•ʃən/           english words ngsl
/dɪ•tɚ•mɪn/          english words ngsl
/stɛɪ•ʃən/           english words ngsl
/pɑ•pjʊ•lɛɪ•ʃən/     english words ngsl
/fɛɪl/               english words ngsl
/ɪn•vaɪ•ə•rən•mənt/  english words ngsl
/prə•dʌk•ʃən/        english words ngsl
/kən•trækt/          english words ngsl
/plɛɪ•ə/             english words ngsl
/kɑ•mɛnt/            english words ngsl
/ɛn•tə/              english words ngsl
/ə•kɚ/               english words ngsl
/ə•loʊn/             english words ngsl
/sɪg•nɪ•fɪ•kənt/     english words ngsl
/drʌg/               english words ngsl
/woɚl/               english words ngsl
/siːɚ•riːz/          english words ngsl
/dɪ•rɛkt/            english words ngsl
/sək•sɛs/            english words ngsl
/tə•mɑ•roʊ/          english words ngsl
/dɪ•rɛk•tə/          english words ngsl
/kliːɚlɪ/            english words ngsl
/læk/                english words ngsl
/rɪ•vju/             english words ngsl
/dɪ•pɛnd/            english words ngsl
/rɛɪs/               english words ngsl
/rɛ•kəg•naɪz/        english words ngsl
/wɪn•doʊ/            english words ngsl
/pɚ•pəs/             english words ngsl
/dɪ•pɑɚt•mənt/       english words ngsl
/gɛɪn/               english words ngsl
/triː/               english words ngsl
/kɑ•lɪdʒ/            english words ngsl
/ɑɚ•gju/             english words ngsl
/boɚd/               english words ngsl
/hɑ•lə•dɪ/           english words ngsl
/mɑɚk/               english words ngsl
/tʃɚtʃ/              english words ngsl
/mə•ʃiːn/            english words ngsl
/ə•tʃiːv/            english words ngsl
/aɪ•tɛm/             english words ngsl
/pruv/               english words ngsl
/sɛnt/               english words ngsl
/siː•zn/             english words ngsl
/floɚ/               english words ngsl
/stʌf/               english words ngsl
/waɪd/               english words ngsl
/ɛ•nɪ•wʌn/           english words ngsl
/mɛ•θəd/             english words ngsl
/ə'næləsɪs/          english words ngsl
/ɪ•lɛk•ʃən/          english words ngsl
/mɪ•lɪ•tə•rɪ/        english words ngsl
/hoʊ•tɛl/            english words ngsl
/klʌb/               english words ngsl
/bɪ•loʊ/             english words ngsl
/mu•vɪ/              english words ngsl
/dɑk•tə/             english words ngsl
/dɪs•kʌ•ʃən/         english words ngsl
/sɑ•rɪ/              english words ngsl
/tʃæ•lɪndʒ/          english words ngsl
/nɛɪ•ʃən/            english words ngsl
/niːɚlɪ/             english words ngsl
/stɛɪt•mənt/         english words ngsl
/lɪŋk/               english words ngsl
/dɪs•paɪt/           english words ngsl
/ɪn•trə•djus/        english words ngsl
/əd•vɑɚn•tɪdʒ/       english words ngsl
/rɛ•dɪ/              english words ngsl
/mæ•rɪ/              english words ngsl
/straɪk/             english words ngsl
/maɪl/               english words ngsl
/siːk/               english words ngsl
/ə•bɪ•lɪ•tɪ/         english words ngsl
/ju•nɪt/             english words ngsl
/kɑɚd/               english words ngsl
/hɑs•pɪ•tl/          english words ngsl
/kwɪklɪ/             english words ngsl
/ɪn•tə•vju/          english words ngsl
/ə•griː•mənt/        english words ngsl
/rɪ•liːs/            english words ngsl
/tæks/               english words ngsl
/sə•lu•ʃən/          english words ngsl
/kæ•pɪ•tl/           english words ngsl
/pɑ•pjʊ•lə/          english words ngsl
/spɪ•sɪ•fɪk/         english words ngsl
/bju•tə•fʊl/         english words ngsl
/fiːɚ/               english words ngsl
/ɛɪm/                english words ngsl
/tɛ•lɪ•vɪ•ʒən/       english words ngsl
/siːɚ•riːɚs/         english words ngsl
/tɑɚ•gɪt/            english words ngsl
/dɪ•griː/            english words ngsl
/pʊl/                english words ngsl
/rɛd/                english words ngsl
/hʌz•bənd/           english words ngsl
/æk•sɛs/             english words ngsl
/muv•mənt/           english words ngsl
/triːt/              english words ngsl
