Word,Definition
hold,to use hands or arms to carry or keep something
service,to maintain a piece of machinery so it runs well
against,in opposition to; disagreeing with
believe,to think or accept that something is true
second,2nd; the one following first
though,although-- despite the fact that
yes,way to say you agree or will do something
love,to care for and like someone very strong and deeply
increase,to make or become something larger in size or amount
job,regular work of earning money
plan,to decide a set of actions to do something
result,to be the outcome of other causes and effects
away,not here; far from here; in a different direction
example,something or someone who represents a group
happen,to take place or occur
offer,to give the opportunity to accept something
young,at an early stage of existence; not mature
close,next to; only a short distance away
program,planned set of actions; a schematic system
lead,to show the way or guide others
buy,to get something by paying money for it
understand,to know the meaning of language-- what someone says
thank,to tell someone you are grateful to them
far,a long way away
today,on this day; at the time that is happening now
hour,60 minutes; one of 24 equal units of time in a day
student,person studying at school
face,front part of the head where eyes-- nose-- and mouth are
hope,when you wish something would happen; what you wish
idea,belief-- thought-- suggestion-- opinion-- or plan
cost,price you pay for something
less,smaller in amount or degree
room,a part of building enclosed by walls (e.g.-- kitchen)
until,up to-- to indicate a point in time when something happens
reason,explanation for why something occurred or was done
form,visible shape or style; type; kind
spend,to use money to pay for something
head,top part of your body with eyes and a mouth
car,a vehicle with four wheels and engine that can carry things
learn,to get knowledge or skills by study or experience
level,to make things flat or even
person,man-- woman-- or child
experience,knowledge gained by living life-- doing new things
once,one time; one instance
member,person or thing belonging to a group or team
enough,equal to what is needed; as much as required
bad,not good; wrong
city,a heavily populated area with many buildings and roads
night,time when sun does not shine
able,having the power-- skill-- knowledge-- or money to do something
support,to give assistance or advice to someone
whether,if something will happen or not
line,mark that is long-- straight-- and very thin
present,gift
side,straight edge of an object
quite,very; in a complete or total manner
although,despite the fact that; however
sure,having no doubts about something
term,fixed period of weeks for learning at school
least,in the smallest or lowest way
age,number of years a person has lived (also of things)
low,not high; being near the ground-- or bottom
speak,to use words to tell information-- express thoughts
within,not beyond the limits of a particular space-- time-- or range
process,to adopt a set of actions that produce a particular result
public,concerning society in general
often,many times-- frequently-- on many occasions
train,vehicle that carries people and runs on rails
possible,having a chance of happening-- or being true
actually,used to add new (often different) information
rather,somewhat; fairly; not that much
view,things you are able to see from a specific place
together,near close in the same place not far in a family or group
consider,to think carefully about something
price,to determine or set the cost of something
parent,person's mother or father
hard,difficult to bend-- break or cut; solid
party,social event often with food-- drinks-- and dancing
local,relating or restricted to a particular area-- city-- or town
control,to direct or influence the behavior of something
already,having happened or been done before this time
concern,feeling of worry or anxiety
product,item that can be bought
lose,to be unable to find something you once had
story,an account or description of how something happened
almost,only a little less than-- nearly-- not quite
continue,to do something without stopping-- or after pausing
stand,to be upright; not be sitting or lying down
whole,complete or full; all of
yet,until now; up to the present
rate,speed or frequency of events over time
care,to look after someone or something
expect,to believe something is probably going to happen
effect,change brought about by a cause; result
sort,group or class of similar things or people
ever,at any time; at all times in the future
anything,thing of any kind; used to refer to a thing in questions
cause,to make something happen; create effect or result
fall,dropping from a standing position to the ground
deal,to give out (cards-- etc.) to; distribute
water,clear liquid that forms the seas-- rivers-- and rain
send,to cause mail or package to go to another place
allow,to let or permit someone do something
soon,at a time not long from now
watch,to look at carefully to work out what is happening
base,origin or start from which something came
probably,likely to happen or be true
suggest,to mention something that could be done; propose
past,the time that existed before now (e.g.-- long ago)
power,legal or official right to perform certain actions
test,examination; questions to measure knowledge
visit,to go to a place for a time-- usually for a reason
center,place in the middle of something
grow,to develop and become bigger or taller over time
nothing,not anything-- not a single thing
return,to come back to a place again
mother,a female who has a child or children
walk,to move with your legs at a slowish pace
matter,problem or reason for concern
mind,part of humans that allows us to think or feel
value,to say how much money something is worth
office,building of set of rooms used to do business or professional activities
record,being the highest or most extreme level achieved in an area
stay,to spend time visiting a place or someone's home
force,to use physical strength or violence to persuade
stop,to finish moving or to come to an end
several,more than two but not many
light,not heavy; weighing only a little
develop,to grow bigger-- more complex-- or more advanced
remember,to bring a previous image or idea to your mind
bit,small piece of something
share,part of a company you own-- shown by a certificate
real,actually existing or happening-- not imagined
answer,solution to a problem or test question
sit,to be in a resting position on a chair
figure,to understand after thinking; work out
letter,message you put in an envelope and send by post
decide,to make a choice about something or choose after thinking
language,words or signs used to communicate messages
subject,person or thing that does the action of a verb
class,rank or level in society-- ranked from high (rich professional people) to low (ordinary people)
development,act or process of growing bigger or more advanced
town,small city
half,the part you get when one is divided into two; ½
minute,unit of time equal to 60 seconds
food,what people and animals eat to live
break,to separate into pieces by force-- or by dropping
clear,easy to understand; well-explained; obvious
future,time that is to come after the present
either,one of two (used when there is a choice of two)
ago,at a specified length of time in the past
per,for each; during each
remain,to be left behind-- to continue to exist
top,highest or upper part or point of something
among,in the center of some things; in relation to several things
win,to succeed in a game or contest
color,the quality of things you can see (e.g.-- red-- blue)
involve,to have or be included as a part of something
reach,to come to or arrive at a goal or destination
social,involving activities among people especially free time activities
period,set amount of time during which events take place
across,from one side to the other of something
note,to make mention of something; to make a remark
history,study of past event
create,to make-- cause-- or bring into existence
drive,to control a vehicle so that it moves somewhere
along,at a point on a line
type,group of things or people sharing common features
sound,waves traveling in air or water that can be heard
eye,part of the body that you see with
music,sounds that are sung or played to give pleasure
game,activity with rules that people play to have fun
political,concerning government or public affairs
free,costing no money
receive,to get something that someone has given or sent to you
moment,very short or brief period of time
sale,giving something for money; the amount sold
policy,course of action proposed by an organization-- etc.
further,extra; in addition
body,a person's physical self
require,to need something-- to make it necessary
wait,to spend time until an expected thing happens
general,widespread-- normal or usual
appear,to be seen-- become visible; come into sight
toward,facing or moving in the direction of something
team,group of people working on a task together
easy,not hard to do; not difficult
individual,single person-- looked at separately from others
full,containing or holding as much as possible
black,color of the sky on a dark night
sense,to perceive using sight-- sound-- taste touch or hearing
perhaps,possibly-- but not certainly; maybe
add,to put two things or numbers together (e.g.-- 2+2)
rule,statement that says how things should be
pass,to travel through or near a place
produce,to manufacture something using machines
sell,to exchange something for money
short,small distance from one end to the other
agree,to have the same opinion as someone else
law,system or rules made by the government
everything,all of the things mentioned
research,to carefully study to find and report new knowledge
cover,thing you put over something to close or hide it
paper,pages of a book are made from this
position,specific location where someone or something is
near,with a small distance between things
human,a person; a man-- woman or child
computer,a machine for storing information and accessing the internet
situation,condition-- location or position
staff,employees of a company
activity,an action or task (e.g.-- sports-- washing your clothes)
film,movie
morning,early part of the day before 12 noon
war,situation where armies fight each other
account,arrangement with a bank to keep your money for you
shop,place which sells things
major,important-- serious-- or large in scope
someone,person who is not known or named
above,in a higher place than something else
design,to plan in a particular way to fulfill a purpose
event,something that happens
special,different from what is usual; better or greater than normal
sometimes,only at certain times; occasionally
condition,state of living you are in (e.g.-- good health)
carry,to hold something and move it to another place
choose,to select; decide between several possibilities
father,a male parent
decision,a choice you make about something after thinking about it
table,raised flat surface
certain,being sure about something; without doubt
forward,toward what is ahead or in front
main,most important; most often used
die,to stop living
bear,large brown animal with fur that lives in forests
cut,to use a knife or scissors to divide or open the surface
describe,to tell someone the appearance-- sound or smell of something
himself,the same (male) person who did the action
available,present and able to be used
especially,more than usual; extremely
strong,having big muscles; physically powerful
rise,to move from a lower position to a higher one
girl,a female child
maybe,possibly but not certainly; perhaps
community,group of people who share a common idea or area
else,otherwise; if you fail to...
particular,one specific (one)
role,character played by an actor
join,to bring something close to another-- to become one
difficult,hard; not easy; you need to work hard to do it
please,you say this when you politely ask people for things
detail,small part of something; tiny fact
difference,not of the same kind; unlike other things
action,something that a person or thing does
health,being in a good condition; being well
eat,to put food in your mouth
step,flat horizontal piece that forms stairs
true,agreeing with the facts; not false; real or actual
phone,to talk to someone using a telephone
themselves,reflexive form of they
draw,to create an image using pen or pencil and paper
white,lightest color; the color of fresh snow and milk
date,a day in the calendar such as January 3rd
practice,to do something many times to improve a skill
model,to make a small scale copy of a full original
raise,to increase a quantity-- size-- intensity or price
customer,someone who buys goods or services from a business
front,opposite of back; the forward part of an object
explain,to make clear or easy to understand by describing
door,you walk through this when you go in a room
outside,area around or near something-- such as a building
behind,in or toward the back
economic,having to do with trade-- industry-- and money
site,present-- former-- or future location of something-- such as a building
approach,to get close to reaching something or somewhere
teacher,person who teaches others-- especially in a school
land,the earth; the ground
charge,to ask for money as a price for a service or goods
finally,after a long time or some difficulty
sign,something such as a mark or event that shows that something exists-- is true-- is happening or will happen
claim,to say something is true when others may not agree
relationship,manner in which people-- groups or countries behave toward one another
travel,to go to a place that is far away
enjoy,to take pleasure in something
death,when someone dies; the end of life
nice,good or enjoyable
amount,quantity of something
improve,to make-- or become-- something better
picture,painting-- drawing or photograph on paper or screen
boy,a young male person
regard,to pay attention to someone or something
organization,formal group of people with a particular purpose
happy,feeling pleasure or joy; glad
couple,two of something; two people; a pair
act,to behave in a certain way
range,limits within which something extends or varies
quality,high level of worth or excellence
project,a planned piece of work for specific purpose
round,being in the shape of a circle or ball
opportunity,time/situation when a thing might be done; chance
road,long piece of hard land for cars to travel on
accord,agreement or harmony
list,series of written names-- words or numbers
wish,to want something to happen or to become true
therefore,for that reason
wear,to have clothes-- glasses-- shoes-- etc.-- on your body
fund,to supply money for something
rest,time when one relaxes-- sleeps-- or is inactive
kid,informal child or young person
industry,factories or businesses that make certain products
education,process of giving or receiving teaching
measure,to calculate size-- weight or temperature of
kill,to end the life of a person or other living thing
serve,to give or provide something to another person
likely,referring to the chance that something will actually happen
certainly,definitely true or is sure to happen
national,concerning a nation as a whole
itself,referring to it
teach,to help someone learn or do something
field,open area of land-- especially without buildings
security,things done to protect people-- buildings-- a country-- etc.-- from harm
air,mixture of gases around the earth that we breathe
benefit,good result or effect-- something advantageous
trade,to buy-- sell and exchange goods in business
risk,to take the chance that you may do something dangerous
news,information about recent events
standard,accepted level of quality; an official measurement
vote,to make a choice for or against-- as in an election
percent,one one-hundredth of a whole
focus,main purpose or center of interest or activity
stage,place where actors or musician perform for others
space,empty area with nothing in it
instead,when one thing is replaced by another
realize,to become aware of or understand mentally
usually,normally; regularly
data,facts or information used to calculate or analyze
single,only-- merely
address,exact street location of a place
performance,activity done to entertain an audience
chance,possibility that something will happen
accept,to agree to receive or take something offered
society,community of people living together
technology,use or knowledge of science in industry-- engineering-- etc.
mention,to refer to or talk or write about something
choice,decision between two or more possibilities
save,to rescue someone or something from a bad situation
common,typical-- normal; not unusual
culture,beliefs and customs of a particular group
total,whole number or amount of something
demand,to strongly request someone to do something; insist
material,substance from which a thing is made of
limit,point beyond which it is not possible to go
listen,to use your ears to hear and understand things
due,when something is required or expected
wrong,not right-- incorrect; not true; bad
foot,lowest part of the leg we use to stand on
effort,amount of work used trying to do something
attention,focus of your thoughts on something
upon,more formal term for on
check,to confirm the details of something are correct
complete,to finish or reach the end of doing something
lie,to say something that you know is not true
pick,to decide on a thing from various choices; select
reduce,to make something smaller or use less of it
personal,done by or to a particular person; individual
ground,solid surface of the earth that we stand on
animal,a living creature that is not a plant or person
arrive,to reach the place you are travelling to
patient,not getting annoyed when things take a long time
current,happening or being in the present time
century,period of 100 years
evidence,factual proof that helps to establish the truth
exist,to be present-- alive or real
similar,nearly the same
fight,act of trying to hurt someone by hitting them
leader,person who is in charge of a group or task
fine,good-- acceptable or satisfactory
street,road in a city with buildings and places to walk
former,being something previously-- but not now
contact,to get in touch with someone
particularly,specially; more than others
wife,married woman
sport,game or physical exercise with rules
prepare,to make something ready for use
discuss,to talk about something seriously or in great detail
response,something said or written as an answer to something
voice,sound made when you speak or sing
piece,small part that of something larger
finish,end of something; completion
suppose,to imagine or guess what might happen
apply,to ask formally for (a job-- building permission-- etc.)
president,person in charge of a country-- company-- or organization
fire,heat and the flame produced when burning
compare,to consider how similar and different things are
court,large-- flat area-- to play tennis or basketball
police,people-- often in uniforms-- who solve crimes
store,place where you can go to buy things
poor,without money; not rich
knowledge,information-- understanding-- or skill
laugh,to make a happy sound when something is funny
arm,part of your body from your shoulder to your hand
heart,part of the body that pumps blood
source,produces or provides what is wanted or needed
employee,person who works for someone else for payment
manage,to run or operate a business by directing others
simply,in an easy or clear manner
bank,a financial institution that keeps or lends money
firm,fairly hard or solid-- not soft
cell,short for 'cellphone'
article,piece of writing about a particular subject
fast,moving or able to move quickly
attack,to try to destroy-- beat-- or injure
foreign,being of a different place or country
surprise,to do something that another person didn't expect
feature,distinctive or important point of something
factor,something that influences a result
pretty,being attractive to the eye in a simple way
recently,just a while ago; not long ago
affect,to do something that changes something else
drop,to let something fall from your hand
recent,happening or beginning not long ago
relate,to understand or sympathize with someone or something
official,of or done by someone in authority; formal
financial,involving money
miss,to be too late to ride on something (e.g.-- train or bus)
art,a creative skill using the imagination (e.g.-- painting)
campaign,to work in an organized and active way toward a goal
private,personal; not to be seen by everyone
pause,to stop doing for a while before continuing
everyone,every person; everybody
forget,to not remember something
page,one side of a sheet of paper
worry,to feel concerned or troubled about something
summer,part of the year when the weather is hot
drink,to put water in your body through your mouth
opinion,a person's thoughts on a topic
park,to put your car or bike in a certain place for a time
represent,to stand in the place or to act the part of
key,something you use to open a lock or start a car
inside,being in something
manager,person who controls and runs a business or group
international,done or relating to several countries-- not just your own
contain,to hold something inside something else
notice,to become aware by sight-- touch-- or hearing
wonder,surprise caused by experiencing something amazing
nature,physical world-- including plants-- animals-- rocks
structure,way something is built-- arranged-- or organized
section,one of the parts that form something
myself,same person as did the action mentioned
exactly,no more and no less than; precisely
plant,living thing with leaves and roots growing in soil
paint,to apply something; coat
worker,person who works
press,to push something against something else
whatever,anything or everything needed; no matter what
necessary,needed or required; unavoidable
region,part of a country-- of the world-- area-- etc.
growth,act of growing
evening,last part of the day and early part of the night
influence,to affect what happens; change something (indirectly)
respect,to think very highly of another person because of what they do
various,several; consisting of different things or types
catch,use your hands to stop and hold something flying
thus,therefore; so; as a result
skill,ability to do something well
attempt,to try to do something challenging or difficult
son,male child; friendly way of addressing a boy
simple,not hard to understand or do; not complex
medium,middle size-- something between other things
average,typical or normal; usual; ordinary
stock,piece of a business bought in the form of shares
management,people who are in control of a business or group
character,your personality or nature
bed,a piece of furniture that people sleep on
hit,to fight-- attack or damage something or someone
establish,to set or create something to last for a long time
indeed,actually; in fact; in reality
final,being the last thing in a series
economy,total of all the goods-- services-- and wages in an area
fit,proper or acceptable; morally or socially correct
guy,informal man; boy; any person
function,what something is intended to be used for; purpose
yesterday,day before today
image,picture-- sculpture-- or painting of something
size,how big or small a thing is
behavior,way a person or thing acts; manner
addition,fact of adding something; thing that is added
determine,to control exactly how something will be or act
station,place where you can catch a train or a bus
population,number of people who live in a country-- area-- etc.
fail,to not achieve a goal-- or to go wrong
environment,natural world in which plants and animals live
production,process of making something on a large scale
contract,legal agreement (e.g.-- for doing work for money)
player,person who plays sports
comment,something you say; give an opinion; remark
enter,to go into a room
occur,to come to pass or to happen
alone,without anyone or anything else
significant,large enough to be noticed or have an effect; important
drug,chemical used as a medicine
wall,high-- flat side of a room or building
series,number of things that happen one after another
direct,to tell someone to do something in a straight-talking way
success,achievement of a desired purpose or goal
tomorrow,day after today
director,senior person who manages part of an organization
clearly,in a way that is easy to understand; obviously
lack,to not have-- or not have enough-- of something
review,to carefully look at the quality of something
depend,to need (someone or something) for support-- help-- etc.
race,contest between people-- animals-- or vehicles-- to determine which is the fastest
recognize,to remember because you have met it before
window,opening in a wall or door to let in light
purpose,reason for which something is done; aim; goal
department,division of a larger part or organization
gain,to get something wanted-- needed-- or valued
tree,tall green plants in a forest
college,school or educational institution for adults
argue,to give reasons for or against an idea or point of view
board,surface for posting or showing information
holiday,day when people don't go to work or school
mark,to make or leave a visible sign on something; a writing symbol
church,building where religious people gather and pray
machine,piece of equipment used to do work
achieve,to succeed in doing something good-- usually by working hard
item,distinct-- individual thing-- often part of a group
prove,to demonstrate truth by providing evidence
cent,100th of the basic unit of money (e.g.-- there are 100 of these in a dollar)
season,one of the four parts of the year determined mainly by the weather during that time
floor,part of a room on which you stand
stuff,generic description for things-- materials-- objects
wide,having a great distance from one side to the other
anyone,any person
method,organized and planned way of doing something
analysis,careful study to better understand something
election,process of choosing someone by voting
military,concerning soldiers or the armed forces
hotel,place where people can stay when traveling
club,group of people who share an interest-- as in sport
below,in a lower position-- place-- or level
movie,motion picture; film
doctor,a professional who is trained and licensed to treat sick or injured people; a person who has the highest degree given by a university
discussion,any long communication about some particular topic
sorry,what you say to admit you were wrong
challenge,an activity you wish to try that may be hard to do
nation,area or region controlled by a government and army
nearly,not completely; almost
statement,act or process of saying something formally
link,to join or connect together
despite,without being affected by something; in spite of
introduce,to make someone known to another by name
advantage,thing making the chance of success higher
ready,prepared to do something
marry,to become the husband or wife of someone
strike,to hit something
mile,unit of distance; 1.6 kilometers
seek,to search for; to try to find; look for
ability,power-- money-- knowledge-- or skill to do something
unit,single thing or person; a part of something larger
card,small piece of paper or plastic used as i.d.
hospital,building for sick people-- with doctors and nurses
quickly,without taking a lot of time; fast
interview,to formally ask questions about a given topic
agreement,when you share the same opinion or reach a decision
release,to allow to leave jail-- cage-- prison-- etc.
tax,money taken by a government from its people
solution,something that ends a problem
capital,main-- or major
popular,liked or enjoyed by many people
specific,special or particular; clearly presented or stated
beautiful,having very attractive or appealing physical qualities
fear,unpleasant feelings caused by being aware of danger
aim,act of pointing something at a target
television,device that broadcasts programs-- movies-- or show
serious,needing thought or concentration; important; in a sober manner
target,a goal or amount you are trying to achieve
degree,unit for measuring temperature or angles
pull,to hold something and move it toward you
red,being the color of blood
husband,married man
access,an entrance to a place; a way in
movement,part of a piece of music
treat,to act in a certain way toward someone
identify,to indicate who or what someone or something is
loss,experience or state of failing to have or keep
shall,expressing the future tense-- to expect to happen
modern,of the present time; up to date; contemporary
pressure,force/weight when pressing against a thing
bus,a large road vehicle used for carrying many people
treatment,way someone acts toward another
yourself,reflexive form of 'you'-- used for an emphasis
supply,to give or sell goods to others for their use
village,small town in the country
worth,how much something is worth; the value of something
natural,not made by humans; without human intervention
express,to state or show what you think or how you feel
indicate,to show something-- direct attention to-- or point out
attend,to be present at an event
brother,a boy or man who shares a parent with you
investment,something purchased hoping its value will increase
score,to get points in a sport such as kicking a ball into a goal
organize,to arrange and plan things (e.g.-- a party)
trip,journey or visit to a place
beyond,on or to the farther side; in addition to
sleep,to rest your body in bed-- as at night time
fish,animal that swims and lives in the sea
promise,to say you will certainly do something
potential,capable of happening or becoming reality
energy,physical or mental strength
trouble,state of difficulty or stress
relation,manner in which people-- groups-- or countries behave toward one another
touch,to feel an object with your fingers-- etc.
file,to submit documents to an authority (e.g.-- city hall)
middle,place that is halfway between two things
bar,to prevent entry-- exit-- or an action
suffer,to experience pain-- illness-- or injury
strategy,careful plan or method for achieving a goal
deep,going far down from the surface
except,not including; other than
clean,being free from dirt or marks because it was washed
tend,to regularly behave in a certain way
advance,to move forward in a certain direction
fill,to make something full
star,a bright planet of gas in the night sky
network,system of connections
generally,usually; as a rule; by-- to-- or for most people
operation,functioning; use
match,a sports competition between two people or teams
avoid,to prevent from happening-- or stay away from
seat,something on which a person can sit
throw,to use your arm to make a thing fly through the air
task,big or small piece of work someone has to do
normal,standard or regular way of doing something
goal,something you try to do or achieve; an aim
associate,partner in professional work (e.g.-- in law)
blue,color of the clear sky
positive,good or useful in qualities-- constructive-- confident
option,possibility out of several that can be chosen; choice
box,a container with (usually) four straight sides and a lid
huge,very very large
message,piece of information that is told/given to someone
instance,an example of something; case
style,the particular way something is done or made
refer,to talk about or write about something
cold,having a very low temperature
push,to force something away from you
quarter,one of four equal parts of something
assume,to believe-- based on the evidence; suppose
baby,very young child-- who cannot yet speak
successful,having the desired effect or result
sing,to make musical sounds with your voice
doubt,not being sure of something; lack of certainty
competition,fighting against others when trying to win something
theory,idea or set of ideas that try to explain facts or events
propose,to offer or put forward an idea for consideration
reference,to cite a piece of research in speech or in writing
argument,a discussion in which you disagree with another's opinion
adult,person or animal that is fully grown
fly,to travel through the air using wings
document,official (printed) record that gives information
pattern,regular repeated behavior
application,formal request for a job-- building permission-- etc.
hot,having a high temperature
obviously,in a way that is obvious/easy to see or understand
unclear,not easy to understand; not obvious
bill,piece of paper showing what you have to pay
search,to carefully look for something
separate,to divide into parts-- or to make something divide into parts
central,being in the middle
career,particular occupation in professional life
anyway,a word people use to change the topic of a conversation
speech,expression of ideas or opinions
dog,small 4-legged animal that barks kept as a pet
officer,person with an important position in an organization
throughout,over or across an entire thing or place-- or in every part of something
oil,thick-- black liquid in the ground used as fuel
dress,women's garment with a top part and a skirt
profit,to earn money from something
guess,to give an answer without knowing if it is correct
fun,amusing and enjoyable
protect,to defend someone or something from harm or danger
resource,essential supply of something
science,knowledge of the physical world based on facts
disease,illness that affects a person-- animal-- or plant
balance,to make two or more things equal
damage,physical harm that is done to something
basis,starting situation-- fact-- idea to develop from
author,person who writes books-- plays-- poems-- etc.
basic,at the most important or easiest (beginner) level
encourage,to make someone more determined or confident
hair,long thin strands on your head or body
male,characteristic of boys or men
operate,to be working or being used
reflect,to bounce back off a surface (e.g.-- light)
exercise,to work out to become stronger and healthier
useful,that can help with a particular task
restaurant,place where you can order-- buy and eat a meal
income,earned money from work-- investments-- or business
property,things-- buildings-- or pieces of land owned by someone
previous,existing or happening before the present time
dark,having little or no light; not light in color
imagine,to think creatively about; form a mental picture of
okay,yes; alright
earn,to get money for work
daughter,a female child of someone
post,to send a letter or package using the post office
newspaper,sheets of paper (or online) containing news stories
define,to explain the meaning of words
conclusion,judgment or opinion after thinking for a while
clock,a device that shows the time
everybody,every person; everyone
weekend,Saturday and Sunday
perform,to carry out an action well or successfully
professional,about a job such as a doctor-- lawyer-- accountant-- etc.
mine,that thing that belongs to me
debate,general public discussion of a topic
memory,something that has been remembered
green,color of young leaves
song,some music with words in verse
object,to disagree; to protest against an idea or plan
maintain,to keep-- exist or continue without changing
credit,system to buy something and pay for it later
ring,to produce a sound from a bell-- alarm-- or telephone; a piece of jewelry worn on a finger
